,Etot,Tamb,TambForecast,EtotPeakHour
2017-07-18,0.283,33.76,34.35,6
2017-07-19,0.404,35.69,33.76,14
2017-07-20,0.385,31.74,35.69,11
2017-07-21,0.7090000000000001,32.81,31.74,13
2017-07-22,0.338,32.04,32.81,16
2017-07-23,0.449,34.09,32.04,20
2017-07-24,0.551,36.04,34.09,7
2017-07-25,0.39,32.79,36.04,11
2017-07-26,0.489,25.7,32.79,21
2017-07-27,0.638,33.8,25.7,18
2017-07-28,0.309,32.57,33.8,17
2017-07-29,0.617,25.51,32.57,12
2017-07-30,0.485,27.51,25.51,6
2017-07-31,0.369,30.47,27.51,9
2017-08-01,0.311,32.32,30.47,7
2017-08-02,0.379,29.84,32.32,5
2017-08-03,0.425,20.29,29.84,16
2017-08-04,0.382,32.43,20.29,14
2017-08-05,0.329,29.0,32.43,11
2017-08-06,0.381,24.5,29.0,6
2017-08-07,0.49,17.35,24.5,17
2017-08-08,0.313,22.21,17.35,7
2017-08-09,0.327,27.11,22.21,20
2017-08-10,0.464,23.89,27.11,6
2017-08-11,0.337,27.21,23.89,7
2017-08-12,0.366,28.72,27.21,14
2017-08-13,0.669,30.57,28.72,13
2017-08-14,0.318,30.83,30.57,6
2017-08-15,0.337,28.32,30.83,21
2017-08-16,0.329,25.44,28.32,20
2017-08-17,0.3420000000000001,29.81,25.44,6
2017-08-18,0.308,32.6,29.81,0
2017-08-19,0.549,34.99,32.6,15
2017-08-20,0.391,32.01,34.99,13
2017-08-21,0.374,29.59,32.01,5
2017-08-22,0.318,28.06,29.59,6
2017-08-23,0.328,30.78,28.06,8
2017-08-24,0.319,29.11,30.78,20
2017-08-25,0.357,32.97,29.11,16
2017-08-26,0.441,33.88,32.97,17
2017-08-27,0.412,32.19,33.88,7
2017-08-28,0.438,33.28,32.19,14
2017-08-29,0.36,34.54,33.28,6
2017-08-30,0.529,31.93,34.54,9
2017-08-31,0.636,29.11,31.93,21
2017-09-01,0.423,30.94,29.11,6
2017-09-02,0.301,34.77,30.94,6
2017-09-03,0.395,37.53,34.77,14
2017-09-04,0.375,32.76,37.53,7
2017-09-05,0.367,22.49,32.76,6
2017-09-06,0.324,29.41,22.49,0
2017-09-07,0.311,28.66,29.41,22
2017-09-08,0.36,31.06,28.66,5
2017-09-09,0.365,30.64,31.06,5
2017-09-10,0.397,32.4,30.64,15
2017-09-11,0.732,29.95,32.4,18
2017-09-12,0.324,32.61,29.95,6
2017-09-13,0.321,31.24,32.61,19
2017-09-14,0.47,31.34,31.24,16
2017-09-15,0.362,28.48,31.34,5
2017-09-16,0.314,22.5,28.48,11
2017-09-17,0.345,22.05,22.5,7
2017-09-18,0.319,29.26,22.05,5
